Headers,Label,Type,Description,Admin.profile,Analytics Cloud Integration User.profile,Analytics Cloud Security User.profile,Chatter External User.profile,Chatter Free User.profile,Chatter Moderator User.profile,Chatter Only User.profile,Company Communities User.profile,ContractManager.profile,CPQ Integration User.profile,Customer Community Login User.profile,Customer Community Plus Login User.profile,Customer Community Plus User.profile,Customer Community User.profile,External Identity User.profile,Guest License User.profile,High Volume Customer Portal User.profile,MarketingProfile.profile,Partner Community Login User.profile,Partner Community User.profile,ReadOnly.profile,Restaurant POC.profile,Restaurant Portal Profile.profile,SolutionManager.profile,Staff.profile,Standard.profile,StandardAul.profile,Work%2Ecom Only User.profile,Field_Service_Mobile_Permission.permissionset,Files_Connect.permissionset,Inspector.permissionset,Platform_Encryption_Management.permissionset,Restaurant_POC_Knowledge.permissionset,Supervisor.permissionset
Campaign.NumberOfResponses,-,-,-,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,-,-,-,-,-,-
Campaign.NumberOfWonOpportunities,-,-,-,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,-,-,-,-,-,-
Campaign.NumberSent,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Campaign.ParentId,-,Lookup,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Campaign.StartDate,-,-,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Campaign.Status,-,Picklist,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Campaign.Type,-,Picklist,-,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,-,-,-,-,-,-
Case.AccountId,-,Lookup,-,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,Read,-,-,Edit,-,-,Edit
Case.Approval_In_Progress__c,Approval In Progress,Checkbox,-,Edit,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Case.AssetId,-,Lookup,-,-,Read,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Edit,-,-,Edit
Case.Billing_City__c,Billing City,Text,-,Read,Read,Read,-,-,-,Read,Read,Read,-,-,-,-,-,-,-,-,Read,-,-,Read,-,-,Read,Read,Read,Read,-,-,-,-,-,-,-
Case.Billing_Country__c,Billing Country,Text,-,Read,Read,Read,-,-,-,Read,Read,Read,-,-,-,-,-,-,-,-,Read,-,-,Read,-,-,Read,Read,Read,Read,-,-,-,-,-,-,-
Case.Billing_State_Province__c,Billing State/Province,Text,-,Read,Read,Read,-,-,-,Read,Read,Read,-,-,-,-,-,-,-,-,Read,-,-,Read,-,-,Read,Read,Read,Read,-,-,-,-,-,-,-
Case.Billing_Street__c,Billing Street,Text,-,Read,Read,Read,-,-,-,Read,Read,Read,-,-,-,-,-,-,-,-,Read,-,-,Read,-,-,Read,Read,Read,Read,-,-,-,-,-,-,-
